"country","city","street","housenumber"
"","Երևան","Մարքվարի փողոց","33"
"","Երևան","Մարքվարի փողոց","34"
"","Երևան","Մարքվարի փողոց","35"
"","Երևան","Մարքվարի փողոց","36"
"","Երևան","Մարքվարի փողոց","37"
"","Երևան","Մարքվարի փողոց","38"
"","Երևան","Մարքվարի փողոց","39"
"","Երևան","Մարքվարի փողոց","4"
"","Երևան","Մարքվարի փողոց","40"
"","Երևան","Մարքվարի փողոց","41"
"","Երևան","Մարքվարի փողոց","42"
"","Երևան","Մարքվարի փողոց","43"
"","Երևան","Մարքվարի փողոց","44"
"","Երևան","Մարքվարի փողոց","45"
"","Երևան","Մարքվարի փողոց","46"
"","Երևան","Մարքվարի փողոց","47"
"","Երևան","Մարքվարի փողոց","48"
"","Երևան","Մարքվարի փողոց","49"
"","Երևան","Մարքվարի փողոց","5"
"","Երևան","Մարքվարի փողոց","50"
"","Երևան","Մարքվարի փողոց","51"
"","Երևան","Մարքվարի փողոց","52"
"","Երևան","Մարքվարի փողոց","54"
"","Երևան","Մարքվարի փողոց","55"
"","Երևան","Մարքվարի փողոց","56"
"","Երևան","Մարքվարի փողոց","57"
"","Երևան","Մարքվարի փողոց","58"
"","Երևան","Մարքվարի փողոց","59"
"","Երևան","Մարքվարի փողոց","60"
"","Երևան","Մարքվարի փողոց","61"
"","Երևան","Մարքվարի փողոց","62"
"","Երևան","Մարքվարի փողոց","63"
"","Երևան","Մարքվարի փողոց","64"
"","Երևան","Մարքվարի փողոց","66"
"","Երևան","Մարքվարի փողոց","67"
"","Երևան","Մարքվարի փողոց","68"
"","Երևան","Մարքվարի փողոց","69"
"","Երևան","Մարքվարի փողոց","7"
"","Երևան","Մարքվարի փողոց","70"
"","Երևան","Մարքվարի փողոց","71"
"","Երևան","Մարքվարի փողոց","72"
"","Երևան","Մարքվարի փողոց","73"
"","Երևան","Մարքվարի փողոց","74"
"","Երևան","Մարքվարի փողոց","75"
"","Երևան","Մարքվարի փողոց","76"
"","Երևան","Մարքվարի փողոց","77"
"","Երևան","Մարքվարի փողոց","78"
"","Երևան","Մարքվարի փողոց","79"
"","Երևան","Մարքվարի փողոց","8"
"","Երևան","Մարքվարի փողոց","80"
"","Երևան","Մարքվարի փողոց","81"
"","Երևան","Մարքվարի փողոց","82"
"","Երևան","Մարքվարի փողոց","83"
"","Երևան","Մարքվարի փողոց","84"
"","Երևան","Մարքվարի փողոց","85"
"","Երևան","Մարքվարի փողոց","86"
"","Երևան","Մարքվարի փողոց","87/1"
"","Երևան","Մարքվարի փողոց","88"
"","Երևան","Մարքվարի փողոց","89"
"","Երևան","Մարքվարի փողոց","9"
"","Երևան","Մարքվարի փողոց","90"
"","Երևան","Մարքվարի փողոց","91"
"","Երևան","Մարքվարի փողոց","92"
"","Երևան","Մարքվարի փողոց","93"
"","Երևան","Մարքվարի փողոց","94"
"","Երևան","Մարքվարի փողոց","95"
"","Երևան","Մարքվարի փողոց","96"
"","Երևան","Մարքվարի փողոց","97"
"","Երևան","Մարքվարի փողոց","98"
"","Երևան","Մարքվարի փողոց","99"
"","Երևան","Մեսրոպ Մաշտոցի պողոտա","35"
"","Երևան","Մհեր Մկրտչյան փողոց","10"
"","Երևան","Մհեր Մկրտչյան փողոց","12"
"","Երևան","Մոլդովական փողոց","22"
"","Երևան","Մոլդովական փողոց","24/2"
"","Երևան","Մոլդովական փողոց","26"
"","Երևան","Մոլդովական փողոց","28"
"","Երևան","Մոլդովական փողոց","28/1"
"","Երևան","Մոլդովական փողոց","36"
"","Երևան","Մոլդովական փողոց","38"
"","Երևան","Մոլդովական փողոց","40"
"","Երևան","Մոլդովական փողոց","42"
"","Երևան","Մոլդովական փողոց","46/4"
"","Երևան","Մոլդովական փողոց","50/2"
"","Երևան","Մոլդովական փողոց","50/3"
"","Երևան","Մոլդովական փողոց","50/5"
"","Երևան","Մոլդովական փողոց","50/6"
"","Երևան","Մոլդովական փողոց","54"
"","Երևան","Մոլդովական փողոց","56"
"","Երևան","Մոլդովական փողոց","58"
"","Երևան","Մոլդովական փողոց","60"
"","Երևան","Նազարեթ Սուրենյան փողոց","4"
"","Երևան","Նալբանդյան փողոց","7/1"
"","Երևան","Նար Դոսի 1ին Նրբանցք","4/3"
"","Երևան","Նելսոն Ստեփանյան փողոց","12"
"","Երևան","Նելսոն Ստեփանյան փողոց","13"
"","Երևան","Նելսոն Ստեփանյան փողոց","14"
"","Երևան","Նելսոն Ստեփանյան փողոց","18"
"","Երևան","Նելսոն Ստեփանյան փողոց","5"
"","Երևան","Նելսոն Ստեփանյան փողոց","6(34)"
"","Երևան","Նելսոն Ստեփանյան փողոց","7"
"","Երևան","Նելսոն Ստեփանյան փողոց","8"
"","Երևան","Ներսիսյան փակուղի","19"
"","Երևան","Ներսիսյան փակուղի","4"
"","Երևան","Ներսիսյան փակուղի","6"
"","Երևան","Ներսիսյան փակուղի","8"
"","Երևան","Ներքին Շենգավիթ 1-ին փողոց","23"
"","Երևան","Ներքին Շենգավիթ 10-րդ փողոց","1"
"","Երևան","Ներքին Շենգավիթ 10-րդ փողոց","11"
"","Երևան","Ներքին Շենգավիթ 10-րդ փողոց","12"
"","Երևան","Ներքին Շենգավիթ 10-րդ փողոց","13"
"","Երևան","Ներքին Շենգավիթ 10-րդ փողոց","15"
"","Երևան","Ներքին Շենգավիթ 10-րդ փողոց","2"
"","Երևան","Ներքին Շենգավիթ 10-րդ փողոց","20"
"","Երևան","Ներքին Շենգավիթ 10-րդ փողոց","21"
"","Երևան","Ներքին Շենգավիթ 10-րդ փողոց","21a"
"","Երևան","Ներքին Շենգավիթ 10-րդ փողոց","22"
"","Երևան","Ներքին Շենգավիթ 10-րդ փողոց","22a"
"","Երևան","Ներքին Շենգավիթ 10-րդ փողոց","22b"
"","Երևան","Ներքին Շենգավիթ 10-րդ փողոց","23"
"","Երևան","Ներքին Շենգավիթ 10-րդ փողոց","24"
"","Երևան","Ներքին Շենգավիթ 10-րդ փողոց","3"
"","Երևան","Ներքին Շենգավիթ 10-րդ փողոց","5"
"","Երևան","Ներքին Շենգավիթ 10-րդ փողոց","7"
"","Երևան","Ներքին Շենգավիթ 10-րդ փողոց","9"
"","Երևան","Ներքին Շենգավիթ 11-րդ փողոց","11"
"","Երևան","Ներքին Շենգավիթ 11-րդ փողոց","13"
"","Երևան","Ներքին Շենգավիթ 11-րդ փողոց","15"
"","Երևան","Ներքին Շենգավիթ 11-րդ փողոց","23"
"","Երևան","Ներքին Շենգավիթ 11-րդ փողոց","24"
"","Երևան","Ներքին Շենգավիթ 11-րդ փողոց","25"
"","Երևան","Ներքին Շենգավիթ 11-րդ փողոց","26"
"","Երևան","Ներքին Շենգավիթ 11-րդ փողոց","26/1"
"","Երևան","Ներքին Շենգավիթ 11-րդ փողոց","26/2"
"","Երևան","Ներքին Շենգավիթ 11-րդ փողոց","27"
"","Երևան","Ներքին Շենգավիթ 11-րդ փողոց","28"
"","Երևան","Ներքին Շենգավիթ 11-րդ փողոց","30"
"","Երևան","Ներքին Շենգավիթ 11-րդ փողոց","32"
"","Երևան","Ներքին Շենգավիթ 11-րդ փողոց","34"
"","Երևան","Ներքին Շենգավիթ 11-րդ փողոց","35"
"","Երևան","Ներքին Շենգավիթ 11-րդ փողոց","35/1"
"","Երևան","Ներքին Շենգավիթ 11-րդ փողոց","36"
"","Երևան","Ներքին Շենգավիթ 11-րդ փողոց","37"
"","Երևան","Ներքին Շենգավիթ 11-րդ փողոց","37/1"
"","Երևան","Ներքին Շենգավիթ 11-րդ փողոց","37/2"
"","Երևան","Ներքին Շենգավիթ 11-րդ փողոց","37/3"
"","Երևան","Ներքին Շենգավիթ 11-րդ փողոց","39"
"","Երևան","Ներքին Շենգավիթ 11-րդ փողոց","39/1"
"","Երևան","Ներքին Շենգավիթ 11-րդ փողոց","39/2"
"","Երևան","Ներքին Շենգավիթ 11-րդ փողոց","48"
"","Երևան","Ներքին Շենգավիթ 11-րդ փողոց","52"
"","Երևան","Ներքին Շենգավիթ 11-րդ փողոց","58"
"","Երևան","Ներքին Շենգավիթ 11-րդ փողոց","9"
"","Երևան","Ներքին Շենգավիթ 12-րդ փողոց","10"
"","Երևան","Ներքին Շենգավիթ 12-րդ փողոց","12"
"","Երևան","Ներքին Շենգավիթ 12-րդ փողոց","14"
"","Երևան","Ներքին Շենգավիթ 12-րդ փողոց","2"
"","Երևան","Ներքին Շենգավիթ 12-րդ փողոց","22"
"","Երևան","Ներքին Շենգավիթ 12-րդ փողոց","4"
"","Երևան","Ներքին Շենգավիթ 12-րդ փողոց","6"
"","Երևան","Ներքին Շենգավիթ 13-րդ փողոց","13"
"","Երևան","Ներքին Շենգավիթ 13-րդ փողոց","21"
"","Երևան","Ներքին Շենգավիթ 13-րդ փողոց","23"
"","Երևան","Ներքին Շենգավիթ 14-րդ փողոց 1-ին փակ․","1"
"","Երևան","Ներքին Շենգավիթ 14-րդ փողոց 1-ին փակ․","2"
"","Երևան","Ներքին Շենգավիթ 14-րդ փողոց 1-ին փակ․","3"
"","Երևան","Ներքին Շենգավիթ 14-րդ փողոց 1-ին փակ․","4"
"","Երևան","Ներքին Շենգավիթ 14-րդ փողոց 1-ին փակ․","4/1"
"","Երևան","Ներքին Շենգավիթ 14-րդ փողոց 1-ին փակ․","4/2"
"","Երևան","Ներքին Շենգավիթ 14-րդ փողոց 1-ին փակ․","6"
"","Երևան","Ներքին Շենգավիթ 14-րդ փողոց 1-ին փակ․","8"
"","Երևան","Ներքին Շենգավիթ 14-րդ փողոց","12"
"","Երևան","Ներքին Շենգավիթ 14-րդ փողոց","14"
"","Երևան","Ներքին Շենգավիթ 14-րդ փողոց","14/1"
"","Երևան","Ներքին Շենգավիթ 14-րդ փողոց","15"
"","Երևան","Ներքին Շենգավիթ 14-րդ փողոց","16"
"","Երևան","Ներքին Շենգավիթ 14-րդ փողոց","18"
"","Երևան","Ներքին Շենգավիթ 14-րդ փողոց","2"
"","Երևան","Ներքին Շենգավիթ 14-րդ փողոց","20"
"","Երևան","Ներքին Շենգավիթ 14-րդ փողոց","4"
"","Երևան","Ներքին Շենգավիթ 14-րդ փողոց","6"
"","Երևան","Ներքին Շենգավիթ 14-րդ փողոց","8"
"","Երևան","Ներքին Շենգավիթ 15-րդ փողոց","10"
"","Երևան","Ներքին Շենգավիթ 15-րդ փողոց","12"
"","Երևան","Ներքին Շենգավիթ 15-րդ փողոց","14"
"","Երևան","Ներքին Շենգավիթ 15-րդ փողոց","15"
"","Երևան","Ներքին Շենգավիթ 15-րդ փողոց","19"
"","Երևան","Ներքին Շենգավիթ 15-րդ փողոց","2"
"","Երևան","Ներքին Շենգավիթ 15-րդ փողոց","21"
"","Երևան","Ներքին Շենգավիթ 15-րդ փողոց","4"
"","Երևան","Ներքին Շենգավիթ 15-րդ փողոց","6"
"","Երևան","Ներքին Շենգավիթ 15-րդ փողոց","8"
"","Երևան","Ներքին Շենգավիթ 3-րդ փողոց","49"
"","Երևան","Ներքին Շենգավիթ 4-րդ փողոց","62"
"","Երևան","Ներքին Շենգավիթ 4-րդ փողոց","64"
"","Երևան","Ներքին Շենգավիթ 4-րդ փողոց","66"
"","Երևան","Ներքին Շենգավիթ 5-րդ փողոց","2"
"","Երևան","Ներքին Շենգավիթ 5-րդ փողոց","61/1"
"","Երևան","Ներքին Շենգավիթ 7-րդ փողոց","51"
"","Երևան","Ներքին Շենգավիթ 8-րդ փողոց","2"
"","Երևան","Ներքին Շենգավիթ 8-րդ փողոց","2/1"
"","Երևան","Ներքին Շենգավիթ 8-րդ փողոց","32"
"","Երևան","Ներքին Շենգավիթ 8-րդ փողոց","41"
"","Երևան","Ներքին Շենգավիթ 9-րդ փողոց","1"
"","Երևան","Ներքին Շենգավիթ 9-րդ փողոց","11"
"","Երևան","Ներքին Շենգավիթ 9-րդ փողոց","123"
"","Երևան","Ներքին Շենգավիթ 9-րդ փողոց","13"
"","Երևան","Ներքին Շենգավիթ 9-րդ փողոց","15"
"","Երևան","Ներքին Շենգավիթ 9-րդ փողոց","17"
"","Երևան","Ներքին Շենգավիթ 9-րդ փողոց","19"
"","Երևան","Ներքին Շենգավիթ 9-րդ փողոց","1a"
"","Երևան","Ներքին Շենգավիթ 9-րդ փողոց","21"
"","Երևան","Ներքին Շենգավիթ 9-րդ փողոց","3"
"","Երևան","Ներքին Շենգավիթ 9-րդ փողոց","5"
"","Երևան","Ներքին Շենգավիթ 9-րդ փողոց","53"
"","Երևան","Ներքին Շենգավիթ 9-րդ փողոց","55"
"","Երևան","Ներքին Շենգավիթ 9-րդ փողոց","57"
"","Երևան","Ներքին Շենգավիթ 9-րդ փողոց","7"
"","Երևան","Ներքին Շենգավիթ 9-րդ փողոց","73"
"","Երևան","Ներքին Շենգավիթ 9-րդ փողոց","81"
"","Երևան","Ներքին Շենգավիթ 9-րդ փողոց","83"
"","Երևան","Ներքին Շենգավիթ 9-րդ փողոց","9"
"","Երևան","Նիզամու փողոց","22"
"","Երևան","Նիզամու փողոց","24"
"","Երևան","Նիզամու փողոց","25"
"","Երևան","Նիզամու փողոց","26a"
"","Երևան","Նիզամու փողոց","31"
"","Երևան","Նիզամու փողոց","54"
"","Երևան","Նիզամու փողոց","56"
"","Երևան","Նիզամու փողոց","6"
"","Երևան","Նիկողայոս Ադոնցի փողոց","13"
"","Երևան","Նիկողայոս Ադոնցի փողոց","16"
"","Երևան","Նիկողայոս Ադոնցի փողոց","21"
"","Երևան","Նիկողայոս Ադոնցի փողոց","29"
"","Երևան","Նոր Արեշի 24-րդ փողոց","47"
"","Երևան","Նոր Արեշի 2րդ փողոց","45"
"","Երևան","Նոր Արեշի 34րդ փողոց","44"
"","Երևան","Շեւչենկոյի փողոց","1"
"","Երևան","Շեւչենկոյի փողոց","4"
"","Երևան","Շինարարների փողոց","2"
"","Երևան","Շիրակի 1-ին նրբանցք","1"
"","Երևան","Շիրակի 1-ին նրբանցք","2"
"","Երևան","Շիրակի 1-ին նրբանցք","3"
"","Երևան","Շիրակի 1-ին նրբանցք","4"
"","Երևան","Շիրակի 1-ին նրբանցք","5"
"","Երևան","Շիրակի 1-ին նրբանցք","6"
"","Երևան","Շիրակի 1-ին նրբանցք","7"
"","Երևան","Շիրակի 1-ին նրբանցք","8"
"","Երևան","Շիրակի 1-ին նրբանցք","9"
"","Երևան","Շիրակի 2-րդ նրբանցք","2"
"","Երևան","Շիրակի 2-րդ նրբանցք","3"
"","Երևան","Շիրակի 2-րդ նրբանցք","4"
"","Երևան","Շիրակի 2-րդ նրբանցք","6"
"","Երևան","Շիրակի 4-րդ նրբանցք","11"
"","Երևան","Շիրակի փողոց","12"
"","Երևան","Շիրակի փողոց","14"
"","Երևան","Շիրակի փողոց","19"
"","Երևան","Շիրակի փողոց","2"
"","Երևան","Շիրակի փողոց","20"
"","Երևան","Շիրակի փողոց","21"
"","Երևան","Շիրակի փողոց","22"
"","Երևան","Շիրակի փողոց","23"
"","Երևան","Շիրակի փողոց","24"
"","Երևան","Շիրակի փողոց","27"
"","Երևան","Շիրակի փողոց","28"
"","Երևան","Շիրակի փողոց","29"
"","Երևան","Շիրակի փողոց","2a"
"","Երևան","Շիրակի փողոց","30"
"","Երևան","Շիրակի փողոց","31"
"","Երևան","Շիրակի փողոց","33"
"","Երևան","Շիրակի փողոց","34"
"","Երևան","Շիրակի փողոց","35"
"","Երևան","Շիրակի փողոց","36"
"","Երևան","Շիրակի փողոց","38"
"","Երևան","Շիրակի փողոց","4"
"","Երևան","Շիրակի փողոց","40"
"","Երևան","Շիրակի փողոց","42"
"","Երևան","Շիրակի փողոց","44"
"","Երևան","Շիրակի փողոց","46"
"","Երևան","Շիրակի փողոց","48"
"","Երևան","Շիրակի փողոց","50"
"","Երևան","Շիրակի փողոց","52"
"","Երևան","Շիրակի փողոց","54"
"","Երևան","Շիրակի փողոց","56"
"","Երևան","Շիրակի փողոց","56/1"
"","Երևան","Շիրակի փողոց","58"
"","Երևան","Շիրակի փողոց","58/1"
"","Երևան","Շիրակի փողոց","6"
"","Երևան","Շիրակի փողոց","6/1"
"","Երևան","Շիրակի փողոց","6/2"
"","Երևան","Շիրակի փողոց","60"
"","Երևան","Շիրակի փողոց","62"
"","Երևան","Շիրակի փողոց","64"
"","Երևան","Շիրակի փողոց","66"
"","Երևան","Շիրակի փողոց","68"
"","Երևան","Շիրակի փողոց","6a"
"","Երևան","Շիրակի փողոց","70"
"","Երևան","Շիրակի փողոց","72"
"","Երևան","Շիրակի փողոց","72/1"
"","Երևան","Շիրակի փողոց","8"
"","Երևան","Շիրվանզադեի փողոց","1"
"","Երևան","Շիրվանզադեի փողոց","24/1"
"","Երևան","Շիրվանզադեի փողոց","33/19"
"","Երևան","Շիրվանզադեի փողոց","9"
"","Երևան","Շոպրոնի 2-րդ նրբանցք","6"
"","Երևան","Շոպրոնի 2-րդ նրբանցք","8"
"","Երևան","Շոպրոնի փողոց","10"
"","Երևան","Շոպրոնի փողոց","12"
"","Երևան","Շոպրոնի փողոց","2"
"","Երևան","Շոպրոնի փողոց","4"
"","Երևան","Շոպրոնի փողոց","6"
"","Երևան","Շոպրոնի փողոց","8"
"","Երևան","Չարենցի փողոց","15"
"","Երևան","Չարենցի փողոց","17"
"","Երևան","Չարենցի փողոց","19"
"","Երևան","Չեխովի փողոց","11"
"","Երևան","Չեխովի փողոց","13"
"","Երևան","Չեխովի փողոց","21/1"
"","Երևան","Չեխովի փողոց","23"
"","Երևան","Չեխովի փողոց","27"
"","Երևան","Չեխովի փողոց","28"
"","Երևան","Չեխովի փողոց","29"
"","Երևան","Չեխովի փողոց","31"
"","Երևան","Չեխովի փողոց","31/1"
"","Երևան","Չեխովի փողոց","33"
"","Երևան","Չեխովի փողոց","34"
"","Երևան","Չեխովի փողոց","35"
"","Երևան","Չեխովի փողոց","36"
"","Երևան","Չեխովի փողոց","38"
"","Երևան","Չեխովի փողոց","40"
"","Երևան","Չեխովի փողոց","42"
"","Երևան","Չեխովի փողոց","44"
"","Երևան","Չեխովի փողոց","46"
"","Երևան","Չեխովի փողոց","48a"
"","Երևան","Չեխովի փողոց","50"
"","Երևան","Չեխովի փողոց","50a"
"","Երևան","Չեխովի փողոց","52"
"","Երևան","Չեխովի փողոց","52a"
"","Երևան","Չեխովի փողոց","54"
"","Երևան","Չեխովի փողոց","56"
"","Երևան","Չեխովի փողոց","8"
"","Երևան","Պոպովի փողոց","1"
"","Երևան","Պոպովի փողոց","1/1"
"","Երևան","Պոպովի փողոց","1/2"
"","Երևան","Պոպովի փողոց","1/4"
"","Երևան","Պոպովի փողոց","10"
"","Երևան","Պոպովի փողոց","100"
"","Երևան","Պոպովի փողոց","102"
"","Երևան","Պոպովի փողոց","104"
"","Երևան","Պոպովի փողոց","106"
"","Երևան","Պոպովի փողոց","108"
"","Երևան","Պոպովի փողոց","11"
"","Երևան","Պոպովի փողոց","12"
"","Երևան","Պոպովի փողոց","13"
"","Երևան","Պոպովի փողոց","14"
"","Երևան","Պոպովի փողոց","15"
"","Երևան","Պոպովի փողոց","16"
"","Երևան","Պոպովի փողոց","17"
"","Երևան","Պոպովի փողոց","2"
"","Երևան","Պոպովի փողոց","2/1"
"","Երևան","Պոպովի փողոց","22"
"","Երևան","Պոպովի փողոց","23"
"","Երևան","Պոպովի փողոց","24"
"","Երևան","Պոպովի փողոց","25"
"","Երևան","Պոպովի փողոց","26"
"","Երևան","Պոպովի փողոց","28"
"","Երևան","Պոպովի փողոց","29"
"","Երևան","Պոպովի փողոց","2a"
"","Երևան","Պոպովի փողոց","30"
"","Երևան","Պոպովի փողոց","31"
"","Երևան","Պոպովի փողոց","32"
"","Երևան","Պոպովի փողոց","33"
"","Երևան","Պոպովի փողոց","34"
"","Երևան","Պոպովի փողոց","35"
"","Երևան","Պոպովի փողոց","36"
"","Երևան","Պոպովի փողոց","37"
"","Երևան","Պոպովի փողոց","38"
"","Երևան","Պոպովի փողոց","39"
"","Երևան","Պոպովի փողոց","4"
"","Երևան","Պոպովի փողոց","4/1"
"","Երևան","Պոպովի փողոց","40"
"","Երևան","Պոպովի փողոց","41"
"","Երևան","Պոպովի փողոց","42"
"","Երևան","Պոպովի փողոց","43"
"","Երևան","Պոպովի փողոց","44"
"","Երևան","Պոպովի փողոց","45"
"","Երևան","Պոպովի փողոց","46"
"","Երևան","Պոպովի փողոց","47"
"","Երևան","Պոպովի փողոց","48"
"","Երևան","Պոպովի փողոց","49"
"","Երևան","Պոպովի փողոց","4a"
"","Երևան","Պոպովի փողոց","5"
"","Երևան","Պոպովի փողոց","50"
"","Երևան","Պոպովի փողոց","51"
"","Երևան","Պոպովի փողոց","52"
"","Երևան","Պոպովի փողոց","53"
"","Երևան","Պոպովի փողոց","54"
"","Երևան","Պոպովի փողոց","55"
"","Երևան","Պոպովի փողոց","57"
"","Երևան","Պոպովի փողոց","58"
"","Երևան","Պոպովի փողոց","59"
"","Երևան","Պոպովի փողոց","6"
"","Երևան","Պոպովի փողոց","6/1"
"","Երևան","Պոպովի փողոց","60"
"","Երևան","Պոպովի փողոց","61"
"","Երևան","Պոպովի փողոց","62"
"","Երևան","Պոպովի փողոց","63"
"","Երևան","Պոպովի փողոց","64"
"","Երևան","Պոպովի փողոց","65"
"","Երևան","Պոպովի փողոց","66"
"","Երևան","Պոպովի փողոց","67"
"","Երևան","Պոպովի փողոց","68"
"","Երևան","Պոպովի փողոց","69"
"","Երևան","Պոպովի փողոց","7"
"","Երևան","Պոպովի փողոց","71"
"","Երևան","Պոպովի փողոց","72"
"","Երևան","Պոպովի փողոց","73"
"","Երևան","Պոպովի փողոց","74"
"","Երևան","Պոպովի փողոց","75"
"","Երևան","Պոպովի փողոց","75/1"
"","Երևան","Պոպովի փողոց","76"
"","Երևան","Պոպովի փողոց","77"
"","Երևան","Պոպովի փողոց","78"
"","Երևան","Պոպովի փողոց","79"
"","Երևան","Պոպովի փողոց","8"
"","Երևան","Պոպովի փողոց","8/1"
"","Երևան","Պոպովի փողոց","80"
"","Երևան","Պոպովի փողոց","81"
"","Երևան","Պոպովի փողոց","82"
"","Երևան","Պոպովի փողոց","83"
"","Երևան","Պոպովի փողոց","84"
"","Երևան","Պոպովի փողոց","85"
"","Երևան","Պոպովի փողոց","86"
"","Երևան","Պոպովի փողոց","87"
"","Երևան","Պոպովի փողոց","88"
"","Երևան","Պոպովի փողոց","9"
"","Երևան","Պոպովի փողոց","90"
"","Երևան","Պոպովի փողոց","92"
"","Երևան","Պոպովի փողոց","94"
"","Երևան","Պոպովի փողոց","96"
"","Երևան","Պոպովի փողոց","98"
"","Երևան","Պուշկինի փողոց","38/1"
"","Երևան","Ջեյմս Բրայսի փող","1"
"","Երևան","Ռայնիսի փողոց","11a"
"","Երևան","Ռայնիսի փողոց","13"
"","Երևան","Ս. Կապուտիկյան փողոց","1"
"","Երևան","Սայաթ Նովայի պողոտա","40"
"","Երևան","Սայաթ Նովայի պողոտա","40/1"
"","Երևան","Սայաթ-Նովա թաղամաս","8/3"
"","Երևան","Սասնա Ծռերի փողոց","2"
"","Երևան","Սարյանի փողոց","5"
"","Երևան","Սունդուկյան փողոց","5"
"","Երևան","Սունդուկյան փողոց","7/1"
"","Երևան","Սվաճյան փողոց","26"
"","Երևան","Սևակի փողոց","106"
"","Երևան","Սևակի փողոց","88"
"","Երևան","Սևանի փողոց","2"
"","Երևան","Վարդանանց փողոց","108"
"","Երևան","Վարդանանց փողոց","110"
"","Երևան","Վարդանանց փողոց","112"
"","Երևան","Վերին  Շենգավիթ 10րդ","23"
"","Երևան","Վերին  Շենգավիթ 10րդ","27"
"","Երևան","Վերին Անտառային փողոց","11"
"","Երևան","Վերին Անտառային փողոց","120/14"
"","Երևան","Վերին Անտառային փողոց","132"
"","Երևան","Վերին Անտառային փողոց","15"
"","Երևան","Վերին Անտառային փողոց","154/8"
"","Երևան","Վերին Անտառային փողոց","15a"
"","Երևան","Վերին Անտառային փողոց","17a"
"","Երևան","Վերին Անտառային փողոց","33"
"","Երևան","Վիկտոր Համբարձումյանի փողոց","1"
"","Երևան","Վիկտոր Համբարձումյանի փողոց","71"
"","Երևան","Տարոնցի փողոց 1ին նրբ","1"
"","Երևան","Տարոնցի փողոց 1ին նրբ","10"
"","Երևան","Տարոնցի փողոց 1ին նրբ","11"
"","Երևան","Տարոնցի փողոց 1ին նրբ","12"
"","Երևան","Տարոնցի փողոց 1ին նրբ","13"
"","Երևան","Տարոնցի փողոց 1ին նրբ","14"
"","Երևան","Տարոնցի փողոց 1ին նրբ","16"
"","Երևան","Տարոնցի փողոց 1ին նրբ","2"
"","Երևան","Տարոնցի փողոց 1ին նրբ","3"
"","Երևան","Տարոնցի փողոց 1ին նրբ","4"
"","Երևան","Տարոնցի փողոց 1ին նրբ","5"
"","Երևան","Տարոնցի փողոց 1ին նրբ","6"
"","Երևան","Տարոնցի փողոց 1ին նրբ","7"
"","Երևան","Տարոնցի փողոց 1ին նրբ","8"
"","Երևան","Տարոնցի փողոց 1ին նրբ","9"
"","Երևան","Տարոնցի փողոց 3րդ նրբ","3"
"","Երևան","Տարոնցի փողոց 3րդ նրբ","4"
"","Երևան","Տարոնցի փողոց","1"
"","Երևան","Տարոնցի փողոց","1/1"
"","Երևան","Տարոնցի փողոց","11"
"","Երևան","Տարոնցի փողոց","13"
"","Երևան","Տարոնցի փողոց","15"
"","Երևան","Տարոնցի փողոց","22"
"","Երևան","Տարոնցի փողոց","24"
"","Երևան","Տարոնցի փողոց","26"
"","Երևան","Տարոնցի փողոց","28"
"","Երևան","Տարոնցի փողոց","28/1"
"","Երևան","Տարոնցի փողոց","3"
"","Երևան","Տարոնցի փողոց","3/1"
"","Երևան","Տարոնցի փողոց","3/2"
"","Երևան","Տարոնցի փողոց","30"
"","Երևան","Տարոնցի փողոց","5"
"","Երևան","Տարոնցի փողոց","7"
"","Երևան","Տարոնցի փողոց","7/2"
"","Երևան","Տարոնցի փողոց","7/3"
"","Երևան","Տերյան փողոց","50"
"","Երևան","Տիգրան Մեծի պողոտա","26"
"","Երևան","Տիմիրյազեվի փողոց","1"
"","Երևան","Տիմիրյազեվի փողոց","11"
"","Երևան","Տիմիրյազեվի փողոց","13"
"","Երևան","Տիմիրյազեվի փողոց","15"
"","Երևան","Տիմիրյազեվի փողոց","17"
"","Երևան","Տիմիրյազեվի փողոց","19"
"","Երևան","Տիմիրյազեվի փողոց","20"
"","Երևան","Տիմիրյազեվի փողոց","21"
"","Երևան","Տիմիրյազեվի փողոց","22"
"","Երևան","Տիմիրյազեվի փողոց","23"
"","Երևան","Տիմիրյազեվի փողոց","24"
"","Երևան","Տիմիրյազեվի փողոց","25"
"","Երևան","Տիմիրյազեվի փողոց","26"
"","Երևան","Տիմիրյազեվի փողոց","27"
"","Երևան","Տիմիրյազեվի փողոց","28"
"","Երևան","Տիմիրյազեվի փողոց","29"
"","Երևան","Տիմիրյազեվի փողոց","3"
"","Երևան","Տիմիրյազեվի փողոց","30"
"","Երևան","Տիմիրյազեվի փողոց","31"
"","Երևան","Տիմիրյազեվի փողոց","32"
"","Երևան","Տիմիրյազեվի փողոց","33"
"","Երևան","Տիմիրյազեվի փողոց","34"
"","Երևան","Տիմիրյազեվի փողոց","35"
"","Երևան","Տիմիրյազեվի փողոց","36"
"","Երևան","Տիմիրյազեվի փողոց","37"
"","Երևան","Տիմիրյազեվի փողոց","38"
"","Երևան","Տիմիրյազեվի փողոց","39"
"","Երևան","Տիմիրյազեվի փողոց","40"
"","Երևան","Տիմիրյազեվի փողոց","41"
"","Երևան","Տիմիրյազեվի փողոց","42"
"","Երևան","Տիմիրյազեվի փողոց","43"
"","Երևան","Տիմիրյազեվի փողոց","44"
"","Երևան","Տիմիրյազեվի փողոց","45"
"","Երևան","Տիմիրյազեվի փողոց","46"
